lexicon	word	tag	score
k_corpus	이	VCP	0.018279601
k_corpus	있	VA	0.011699048
k_corpus	하	VV	0.009773658
k_corpus	것	NNB	0.00973315
k_corpus	들	XSN	0.00689824
k_corpus	그	MM	0.005327252
k_corpus	되	VV	0.00361335
k_corpus	수	NNB	0.003473622
k_corpus	이	NP	0.003361203
k_corpus	보	VX	0.003310379
k_corpus	않	VX	0.0029757
k_corpus	없	VA	0.002920476
k_corpus	나	NP	0.002690479
k_corpus	사람	NNG	0.002073917
k_corpus	주	VV	0.001884579
k_corpus	아니	VCN	0.001870774
k_corpus	등	NNB	0.001822074
k_corpus	같	VA	0.001724522
k_corpus	우리	NP	0.001714509
k_corpus	때	NNG	0.001685684
k_corpus	년	NNB	0.001647755
k_corpus	가	VV	0.001618626
k_corpus	한	MM	0.001584036
k_corpus	지	VX	0.001537763
k_corpus	대하	VV	0.00150378
k_corpus	오	VV	0.001490884
k_corpus	말	NNG	0.001321876
k_corpus	일	NNG	0.001239799
k_corpus	그렇	VA	0.001232062
k_corpus	위하	VV	0.001170618
k_corpus	때문	NNB	0.001146647
k_corpus	그것	NP	0.001099161
k_corpus	두	VV	0.001063053
k_corpus	말하	VV	0.001030587
k_corpus	알	VV	0.000995693
k_corpus	그러나	MAJ	0.000978246
k_corpus	받	VV	0.000924084
k_corpus	못하	VX	0.000904665
k_corpus	일	NNB	0.000880239
k_corpus	그런	MM	0.000879481
k_corpus	또	MAG	0.000870985
k_corpus	문제	NNG	0.000823954
k_corpus	더	MAG	0.000801652
k_corpus	사회	NNG	0.000793459
k_corpus	많	VA	0.000789211
k_corpus	그리고	MAJ	0.000779653
k_corpus	좋	VA	0.000763723
k_corpus	크	VA	0.000758565
k_corpus	따르	VV	0.000738084
k_corpus	중	NNB	0.000733229
k_corpus	나오	VV	0.000725188
k_corpus	가지	VV	0.000720485
k_corpus	씨	NNB	0.000710169
k_corpus	시키	XSV	0.000707893
k_corpus	만들	VV	0.000703797
k_corpus	지금	NNG	0.000699701
k_corpus	생각하	VV	0.000694846
k_corpus	그러	VV	0.000692418
k_corpus	속	NNG	0.00068544
k_corpus	하나	NR	0.000655097
k_corpus	집	NNG	0.000648573
k_corpus	살	VV	0.000648422
k_corpus	모르	VV	0.000645084
k_corpus	적	XSN	0.000643112
k_corpus	월	NNB	0.000639319
k_corpus	데	NNB	0.000636436
k_corpus	자신	NNG	0.000632188
k_corpus	안	MAG	0.000625968
k_corpus	어떤	MM	0.000623237
k_corpus	내	NP	0.000622023
k_corpus	내	VV	0.000614438
k_corpus	경우	NNG	0.000613831
k_corpus	명	NNB	0.00061019
k_corpus	생각	NNG	0.000587433
k_corpus	시간	NNG	0.00057302
k_corpus	그녀	NP	0.000571806
k_corpus	다시	MAG	0.00055618
k_corpus	이런	MM	0.000550263
k_corpus	앞	NNG	0.000548898
k_corpus	보이	VV	0.000542678
k_corpus	번	NNB	0.000542526
k_corpus	나	VX	0.000538126
k_corpus	다른	MM	0.000536306
k_corpus	어떻	VA	0.000533423
k_corpus	여자	NNG	0.000531754
k_corpus	개	NNB	0.000530085
k_corpus	전	NNG	0.00052872
k_corpus	들	VV	0.000514914
k_corpus	사실	NNG	0.000511728
k_corpus	이렇	VA	0.000511576
k_corpus	점	NNG	0.000507935
k_corpus	싶	VX	0.000504749
k_corpus	말	VX	0.000503991
k_corpus	정도	NNG	0.000496102
k_corpus	좀	MAG	0.000492916
k_corpus	원	NNB	0.000492309
k_corpus	잘	MAG	0.000491399
k_corpus	통하	VV	0.000486847
k_corpus	소리	NNG	0.000485633
k_corpus	놓	VX	0.000482751
ranks_nl	아		
ranks_nl	휴		
ranks_nl	아이구		
ranks_nl	아이쿠		
ranks_nl	아이고		
ranks_nl	어		
ranks_nl	나		
ranks_nl	우리		
ranks_nl	저희		
ranks_nl	따라		
ranks_nl	의해		
ranks_nl	을		
ranks_nl	를		
ranks_nl	에		
ranks_nl	의		
ranks_nl	가		
ranks_nl	으로		
ranks_nl	로		
ranks_nl	에게		
ranks_nl	뿐이다		
ranks_nl	의거하여		
ranks_nl	근거하여		
ranks_nl	입각하여		
ranks_nl	기준으로		
ranks_nl	예하면		
ranks_nl	예를 들면		
ranks_nl	예를 들자면		
ranks_nl	저		
ranks_nl	소인		
ranks_nl	소생		
ranks_nl	저희		
ranks_nl	지말고		
ranks_nl	하지마		
ranks_nl	하지마라		
ranks_nl	다른		
ranks_nl	물론		
ranks_nl	또한		
ranks_nl	그리고		
ranks_nl	비길수 없다		
ranks_nl	해서는 안된다		
ranks_nl	뿐만 아니라		
ranks_nl	만이 아니다		
ranks_nl	만은 아니다		
ranks_nl	막론하고		
ranks_nl	관계없이		
ranks_nl	그치지 않다		
ranks_nl	그러나		
ranks_nl	그런데		
ranks_nl	하지만		
ranks_nl	든간에		
ranks_nl	논하지 않다		
ranks_nl	따지지 않다		
ranks_nl	설사		
ranks_nl	비록		
ranks_nl	더라도		
ranks_nl	아니면		
ranks_nl	만 못하다		
ranks_nl	하는 편이 낫다		
ranks_nl	불문하고		
ranks_nl	향하여		
ranks_nl	향해서		
ranks_nl	향하다		
ranks_nl	쪽으로		
ranks_nl	틈타		
ranks_nl	이용하여		
ranks_nl	타다		
ranks_nl	오르다		
ranks_nl	제외하고		
ranks_nl	이 외에		
ranks_nl	이 밖에		
ranks_nl	하여야		
ranks_nl	비로소		
ranks_nl	한다면 몰라도		
ranks_nl	외에도		
ranks_nl	이곳		
ranks_nl	여기		
ranks_nl	부터		
ranks_nl	기점으로		
ranks_nl	따라서		
ranks_nl	할 생각이다		
ranks_nl	하려고하다		
ranks_nl	이리하여		
ranks_nl	그리하여		
ranks_nl	그렇게 함으로써		
ranks_nl	하지만		
ranks_nl	일때		
ranks_nl	할때		
ranks_nl	앞에서		
ranks_nl	중에서		
ranks_nl	보는데서		
ranks_nl	으로써		
ranks_nl	로써		
ranks_nl	까지		
ranks_nl	해야한다		
ranks_nl	일것이다		
ranks_nl	반드시		
ranks_nl	할줄알다		
ranks_nl	할수있다		
ranks_nl	할수있어		
ranks_nl	임에 틀림없다		
ranks_nl	한다면		
ranks_nl	등		
ranks_nl	등등		
ranks_nl	제		
ranks_nl	겨우		
ranks_nl	단지		
ranks_nl	다만		
ranks_nl	할뿐		
ranks_nl	딩동		
ranks_nl	댕그		
ranks_nl	대해서		
ranks_nl	대하여		
ranks_nl	대하면		
ranks_nl	훨씬		
ranks_nl	얼마나		
ranks_nl	얼마만큼		
ranks_nl	얼마큼		
ranks_nl	남짓		
ranks_nl	여		
ranks_nl	얼마간		
ranks_nl	약간		
ranks_nl	다소		
ranks_nl	좀		
ranks_nl	조금		
ranks_nl	다수		
ranks_nl	몇		
ranks_nl	얼마		
ranks_nl	지만		
ranks_nl	하물며		
ranks_nl	또한		
ranks_nl	그러나		
ranks_nl	그렇지만		
